,city,month,pm10 median,2020median_income
0,Concord,2020-08-01,31.0,95066.0
1,Concord,2020-07-01,20.0,95066.0
2,Concord,2020-06-01,16.0,95066.0
3,Concord,2020-05-01,13.208333,95066.0
4,Concord,2020-02-01,16.2980075,95066.0
5,Concord,2020-03-01,8.0,95066.0
6,Concord,2020-01-01,10.854167,95066.0
7,Concord,2020-11-01,21.416666499999998,95066.0
8,Concord,2020-12-01,18.0,95066.0
9,Concord,2020-04-01,11.75,95066.0
10,Concord,2020-09-01,43.0,95066.0
11,Concord,2020-10-01,45.0,95066.0
12,Healdsburg,2020-11-01,21.416666499999998,91511.0
13,Healdsburg,2020-12-01,18.0,91511.0
14,Healdsburg,2020-07-01,20.0,91511.0
15,Healdsburg,2020-01-01,10.854167,91511.0
16,Healdsburg,2020-02-01,16.2980075,91511.0
17,Healdsburg,2020-03-01,8.0,91511.0
18,Healdsburg,2020-04-01,11.75,91511.0
19,Healdsburg,2020-05-01,13.208333,91511.0
20,Healdsburg,2020-06-01,16.0,91511.0
21,Healdsburg,2020-08-01,31.0,91511.0
22,Healdsburg,2020-09-01,43.0,91511.0
23,Healdsburg,2020-10-01,45.0,91511.0
24,Napa,2020-01-01,10.854167,88141.0
25,Napa,2020-02-01,16.2980075,88141.0
26,Napa,2020-03-01,8.0,88141.0
27,Napa,2020-04-01,11.75,88141.0
28,Napa,2020-05-01,13.208333,88141.0
29,Napa,2020-06-01,16.0,88141.0
30,Napa,2020-07-01,20.0,88141.0
31,Napa,2020-08-01,31.0,88141.0
32,Napa,2020-09-01,43.0,88141.0
33,Napa,2020-10-01,45.0,88141.0
34,Napa,2020-11-01,21.416666499999998,88141.0
35,Napa,2020-12-01,18.0,88141.0
36,San Francisco,2020-01-01,10.854167,122169.0
37,San Francisco,2020-12-01,18.0,122169.0
38,San Francisco,2020-10-01,45.0,122169.0
39,San Francisco,2020-09-01,43.0,122169.0
40,San Francisco,2020-08-01,31.0,122169.0
41,San Francisco,2020-07-01,20.0,122169.0
42,San Francisco,2020-11-01,21.416666499999998,122169.0
43,San Francisco,2020-05-01,13.208333,122169.0
44,San Francisco,2020-04-01,11.75,122169.0
45,San Francisco,2020-03-01,8.0,122169.0
46,San Francisco,2020-02-01,16.2980075,122169.0
47,San Francisco,2020-06-01,16.0,122169.0
48,San Jose,2020-01-01,10.854167,120311.0
49,San Jose,2020-05-01,13.208333,120311.0
50,San Jose,2020-06-01,16.0,120311.0
51,San Jose,2020-07-01,20.0,120311.0
52,San Jose,2020-08-01,31.0,120311.0
53,San Jose,2020-09-01,43.0,120311.0
54,San Jose,2020-10-01,45.0,120311.0
55,San Jose,2020-11-01,21.416666499999998,120311.0
56,San Jose,2020-12-01,18.0,120311.0
57,San Jose,2020-02-01,16.2980075,120311.0
58,San Jose,2020-04-01,11.75,120311.0
59,San Jose,2020-03-01,8.0,120311.0
60,San Pablo,2020-04-01,11.75,62367.0
61,San Pablo,2020-12-01,18.0,62367.0
62,San Pablo,2020-03-01,8.0,62367.0
63,San Pablo,2020-11-01,21.416666499999998,62367.0
64,San Pablo,2020-10-01,45.0,62367.0
65,San Pablo,2020-09-01,43.0,62367.0
66,San Pablo,2020-08-01,31.0,62367.0
67,San Pablo,2020-07-01,20.0,62367.0
68,San Pablo,2020-06-01,16.0,62367.0
69,San Pablo,2020-05-01,13.208333,62367.0
70,San Pablo,2020-02-01,16.2980075,62367.0
71,San Pablo,2020-01-01,10.854167,62367.0
72,San Rafael,2020-03-01,8.0,99479.0
73,San Rafael,2020-11-01,21.416666499999998,99479.0
74,San Rafael,2020-10-01,45.0,99479.0
75,San Rafael,2020-09-01,43.0,99479.0
76,San Rafael,2020-08-01,31.0,99479.0
77,San Rafael,2020-07-01,20.0,99479.0
78,San Rafael,2020-06-01,16.0,99479.0
79,San Rafael,2020-04-01,11.75,99479.0
80,San Rafael,2020-12-01,18.0,99479.0
81,San Rafael,2020-02-01,16.2980075,99479.0
82,San Rafael,2020-05-01,13.208333,99479.0
83,San Rafael,2020-01-01,10.854167,99479.0
84,Vacaville,2020-07-01,20.0,95666.0
85,Vacaville,2020-11-01,21.416666499999998,95666.0
86,Vacaville,2020-10-01,45.0,95666.0
87,Vacaville,2020-09-01,43.0,95666.0
88,Vacaville,2020-08-01,31.0,95666.0
89,Vacaville,2020-06-01,16.0,95666.0
90,Vacaville,2020-12-01,18.0,95666.0
91,Vacaville,2020-04-01,11.75,95666.0
92,Vacaville,2020-03-01,8.0,95666.0
93,Vacaville,2020-02-01,16.2980075,95666.0
94,Vacaville,2020-01-01,10.854167,95666.0
95,Vacaville,2020-05-01,13.208333,95666.0
